Membership No  Date Joined  Active  
    68822      2015-7-6     yes   
    19953      2018-7-15    yes   
    10550      2020-2-25    no    
    94537      2017-10-23   yes   
    28713      2016-10-13   yes   
    88836      2015-8-15    yes   
    98219      2015-1-22    no    
    93389      2018-3-2     no    
    55592      2018-10-7    yes   
    10189      2016-5-22    no    
    54349      2015-8-19    yes   
    28591      2016-12-17   yes   
    11029      2020-3-11    yes   
    15754      2019-2-24    no    
    16201      2018-9-3     yes   
    85366      2015-3-8     yes   
    35659      2019-8-25    yes   
    47261      2020-10-20   no    
    20350      2018-8-11    yes   
    54317      2017-6-6     no    
