Membership No  Date Joined  Active  
    69277      2020-12-6    yes   
    31933      2019-3-17    yes   
    35601      2020-7-13    yes   
    13094      2019-6-2     no    
    27299      2016-6-17    no    
    48365      2019-5-24    no    
    77550      2019-4-14    yes   
    82523      2020-8-9     yes   
    44769      2020-3-21    no    
    15589      2015-8-1     no    
    80257      2016-8-20    no    
    95109      2017-5-22    no    
    86324      2019-9-24    yes   
    51699      2016-5-18    yes   
    87595      2020-2-16    no    
    26649      2020-1-2     no    
    60086      2020-12-17   yes   
    14697      2018-10-22   no    
    15563      2017-6-6     yes   
    21448      2018-6-22    yes   
